D21,,,,
BookingReference,Created Date,Reference,Attendee Status,Attended
B1035261,25/11/2021,A1103968,Attending,Yes
B1035265,25/11/2021,A1103972,Attending,Yes
B1035304,25/11/2021,A1104011,Attending,
B1035306,25/11/2021,A1104013,Attending,Yes
B1035526,26/11/2021,A1104235,Attending,
B1035558,26/11/2021,A1104267,Attending,Yes
B1035564,26/11/2021,A1104273,Attending,Yes
B1035572,26/11/2021,A1104281,Attending,Yes
B1035574,26/11/2021,A1104286,Attending,
B1035590,26/11/2021,A1104302,Attending,Yes
B1035594,26/11/2021,A1104306,Attending,
B1035666,26/11/2021,A1104378,Attending,
B1035677,26/11/2021,A1104389,Attending,
B1035854,28/11/2021,A1104570,Attending,Yes
B1036071,29/11/2021,A1104789,Attending,
B1036082,29/11/2021,A1104800,Attending,
B1036178,29/11/2021,A1104896,Attending,Yes
B1036179,29/11/2021,A1104897,Attending,
B1036180,29/11/2021,A1104898,Attending,Yes
B1036184,29/11/2021,A1104902,Attending,Yes
B1036185,29/11/2021,A1104903,Attending,Yes
B1036187,29/11/2021,A1104905,Attending,
B1036191,29/11/2021,A1104909,Attending,Yes
B1036192,29/11/2021,A1104910,Attending,
B1036193,29/11/2021,A1104911,Attending,Yes
B1036431,30/11/2021,A1105152,Attending,Yes
B1036459,30/11/2021,A1105180,Attending,Yes
B1036460,30/11/2021,A1105181,Attending,Yes
B1036468,30/11/2021,A1105189,Attending,
B1036469,30/11/2021,A1105190,Attending,
B1036470,30/11/2021,A1105191,Attending,Yes
B1036471,30/11/2021,A1105192,Attending,Yes
B1036472,30/11/2021,A1105193,Attending,Yes
B1036474,30/11/2021,A1105195,Attending,Yes
B1036477,30/11/2021,A1105198,Attending,Yes
B1036480,30/11/2021,A1105201,Cancelled,
B1036482,30/11/2021,A1105203,Attending,
B1036500,30/11/2021,A1105221,Attending,Yes
B1036500,30/11/2021,A1105222,Attending,
B1036504,30/11/2021,A1105226,Attending,Yes
B1036534,30/11/2021,A1105256,Attending,Yes
B1036568,30/11/2021,A1105290,Attending,Yes
B1036623,30/11/2021,A1105345,Attending,Yes
B1036644,30/11/2021,A1105366,Attending,
B1036657,30/11/2021,A1105379,Attending,Yes
B1036660,30/11/2021,A1105382,Attending,
B1036661,30/11/2021,A1105383,Attending,Yes
B1036664,30/11/2021,A1105386,Attending,Yes
B1036667,30/11/2021,A1105389,Attending,Yes
B1036670,30/11/2021,A1105392,Attending,
B1036671,30/11/2021,A1105393,Attending,
B1036674,30/11/2021,A1105396,Attending,Yes
B1036675,30/11/2021,A1105397,Attending,Yes
B1036676,30/11/2021,A1105398,Attending,Yes
B1036677,30/11/2021,A1105399,Attending,
B1036678,30/11/2021,A1105400,Attending,Yes
B1036681,30/11/2021,A1105403,Attending,Yes
B1036682,30/11/2021,A1105404,Attending,Yes
B1036692,30/11/2021,A1105414,Attending,
B1036766,30/11/2021,A1105488,Attending,
B1036996,01/12/2021,A1105721,Attending,Yes
B1037002,01/12/2021,A1105727,Attending,Yes
B1037037,01/12/2021,A1105762,Attending,Yes
B1037054,01/12/2021,A1105779,Attending,
B1037162,01/12/2021,A1105887,Attending,Yes
B1037192,01/12/2021,A1105917,Attending,Yes
B1037220,01/12/2021,A1105945,Attending,
B1037222,01/12/2021,A1105947,Attending,Yes
B1037223,01/12/2021,A1105948,Attending,Yes
B1037234,01/12/2021,A1105959,Attending,Yes
B1037297,01/12/2021,A1106026,Attending,
B1037339,01/12/2021,A1106069,Attending,Yes
B1037457,02/12/2021,A1106191,Attending,Yes
B1037458,02/12/2021,A1106192,Attending,
B1037462,02/12/2021,A1106196,Attending,Yes
B1037471,02/12/2021,A1106205,Attending,Yes
B1037473,02/12/2021,A1106207,Attending,
B1037480,02/12/2021,A1106214,Attending,
B1037522,02/12/2021,A1106264,Attending,Yes
B1037525,02/12/2021,A1106267,Attending,Yes
B1037526,02/12/2021,A1106268,Attending,Yes
B1037527,02/12/2021,A1106269,Attending,Yes
B1037528,02/12/2021,A1106270,Attending,Yes
B1037534,02/12/2021,A1106278,Attending,Yes
B1037536,02/12/2021,A1106280,Attending,
B1037537,02/12/2021,A1106281,Attending,Yes
B1037538,02/12/2021,A1106282,Attending,
B1037541,02/12/2021,A1106285,Attending,Yes
B1037543,02/12/2021,A1106287,Attending,Yes
B1037544,02/12/2021,A1106288,Attending,Yes
B1037549,02/12/2021,A1106294,Attending,Yes
B1037551,02/12/2021,A1106296,Attending,
B1037552,02/12/2021,A1106297,Attending,Yes
B1037555,02/12/2021,A1106300,Attending,
B1037556,02/12/2021,A1106301,Attending,
B1037557,02/12/2021,A1106302,Attending,
B1037559,02/12/2021,A1106304,Attending,Yes
B1037560,02/12/2021,A1106305,Attending,
B1037561,02/12/2021,A1106306,Attending,Yes
B1037562,02/12/2021,A1106307,Attending,Yes
B1037563,02/12/2021,A1106308,Attending,Yes
B1037732,03/12/2021,A1106488,Attending,Yes
B1037750,03/12/2021,A1106506,Attending,Yes
B1037759,03/12/2021,A1106515,Attending,
B1037834,03/12/2021,A1106590,Attending,
B1037857,03/12/2021,A1106613,Attending,
B1037862,03/12/2021,A1106618,Attending,
B1037867,03/12/2021,A1106623,Attending,
B1037877,03/12/2021,A1106633,Attending,
B1037886,03/12/2021,A1106642,Attending,
B1037927,03/12/2021,A1106683,Attending,Yes
B1037938,03/12/2021,A1106694,Attending,
B1037963,03/12/2021,A1106719,Attending,
B1037964,03/12/2021,A1106720,Attending,
B1037978,03/12/2021,A1106734,Attending,Yes
B1037979,03/12/2021,A1106735,Attending,Yes
B1037980,03/12/2021,A1106736,Attending,Yes
B1037982,03/12/2021,A1106738,Attending,Yes
B1038188,04/12/2021,A1106944,Attending,Yes
B1038330,06/12/2021,A1107087,Attending,
B1038335,06/12/2021,A1107092,Attending,Yes
B1038342,06/12/2021,A1107099,Attending,Yes
B1038351,06/12/2021,A1107108,Attending,Yes
B1038352,06/12/2021,A1107109,Attending,
B1038353,06/12/2021,A1107110,Attending,Yes
B1038358,06/12/2021,A1107115,Attending,Yes
B1038360,06/12/2021,A1107117,Attending,Yes
B1038364,06/12/2021,A1107121,Attending,Yes
B1038366,06/12/2021,A1107123,Attending,
B1038370,06/12/2021,A1107127,Attending,Yes
B1038382,06/12/2021,A1107139,Attending,
B1038383,06/12/2021,A1107140,Attending,Yes
B1038384,06/12/2021,A1107141,Attending,Yes
B1038385,06/12/2021,A1107142,Attending,
B1038389,06/12/2021,A1107146,Attending,Yes
B1038391,06/12/2021,A1107148,Attending,Yes
B1038393,06/12/2021,A1107150,Attending,
B1038395,06/12/2021,A1107152,Attending,Yes
B1038396,06/12/2021,A1107153,Attending,Yes
B1038400,06/12/2021,A1107157,Attending,Yes
B1038402,06/12/2021,A1107159,Attending,Yes
B1038403,06/12/2021,A1107160,Attending,Yes
B1038406,06/12/2021,A1107163,Attending,
B1038407,06/12/2021,A1107164,Attending,Yes
B1038409,06/12/2021,A1107166,Attending,
B1038410,06/12/2021,A1107167,Attending,Yes
B1038411,06/12/2021,A1107168,Attending,Yes
B1038437,06/12/2021,A1107194,Attending,Yes
B1038439,06/12/2021,A1107196,Attending,
B1038441,06/12/2021,A1107198,Attending,
B1038442,06/12/2021,A1107199,Attending,
B1038444,06/12/2021,A1107201,Attending,Yes
B1038445,06/12/2021,A1107202,Attending,
B1038446,06/12/2021,A1107203,Attending,
B1038447,06/12/2021,A1107204,Attending,Yes
B1038449,06/12/2021,A1107206,Attending,
B1038450,06/12/2021,A1107207,Attending,Yes
B1038452,06/12/2021,A1107209,Attending,Yes
B1038453,06/12/2021,A1107210,Attending,
B1038454,06/12/2021,A1107211,Attending,
B1038455,06/12/2021,A1107212,Attending,Yes
B1038458,06/12/2021,A1107215,Attending,
B1038459,06/12/2021,A1107216,Attending,Yes
B1038461,06/12/2021,A1107218,Attending,Yes
B1038462,06/12/2021,A1107219,Attending,Yes
B1038463,06/12/2021,A1107220,Attending,Yes
B1038464,06/12/2021,A1107221,Attending,Yes
B1038465,06/12/2021,A1107222,Attending,Yes
B1038466,06/12/2021,A1107223,Attending,Yes
B1038467,06/12/2021,A1107224,Attending,
B1038468,06/12/2021,A1107225,Attending,Yes
B1038469,06/12/2021,A1107226,Attending,Yes
B1038470,06/12/2021,A1107227,Attending,Yes
