SRM23,,,,
BookingReference,Created Date,Reference,Attendee Status,Attended
B1182900,23/05/2023,A1256349,Attending,
B1182902,23/05/2023,A1256352,Attending,
B1182903,23/05/2023,A1256353,Attending,
B1182904,23/05/2023,A1256354,Attending,
B1182906,23/05/2023,A1256356,Attending,
B1182907,23/05/2023,A1256357,Attending,
B1182908,23/05/2023,A1256358,Attending,
B1182913,23/05/2023,A1256363,Attending,
B1182914,23/05/2023,A1256364,Attending,
B1182915,23/05/2023,A1256365,Attending,
B1182916,23/05/2023,A1256366,Attending,
B1182917,23/05/2023,A1256367,Attending,
B1182918,23/05/2023,A1256368,Attending,
B1182920,23/05/2023,A1256370,Attending,
B1182923,23/05/2023,A1256373,Attending,
B1182931,23/05/2023,A1256381,Attending,
B1182932,23/05/2023,A1256382,Attending,
B1182933,23/05/2023,A1256383,Attending,
B1182944,23/05/2023,A1256394,Attending,
B1182951,23/05/2023,A1256401,Attending,
B1182952,23/05/2023,A1256402,Attending,
B1182957,23/05/2023,A1256407,Attending,
B1182958,23/05/2023,A1256408,Attending,
B1182963,23/05/2023,A1256413,Attending,
B1182969,23/05/2023,A1256419,Attending,
B1182970,23/05/2023,A1256420,Attending,
B1182971,23/05/2023,A1256421,Attending,
B1182975,23/05/2023,A1256425,Attending,
B1182988,23/05/2023,A1256438,Attending,
B1182996,23/05/2023,A1256446,Attending,
B1183001,23/05/2023,A1256451,Attending,
B1183013,23/05/2023,A1256463,Attending,
B1183025,24/05/2023,A1256475,Attending,
B1183036,24/05/2023,A1256486,Attending,
B1183037,24/05/2023,A1256487,Attending,
B1183038,24/05/2023,A1256488,Attending,
B1183039,24/05/2023,A1256489,Attending,
B1183043,24/05/2023,A1256493,Attending,
B1183044,24/05/2023,A1256494,Attending,
B1183045,24/05/2023,A1256495,Attending,
B1183046,24/05/2023,A1256496,Attending,
B1183047,24/05/2023,A1256497,Attending,
B1183049,24/05/2023,A1256499,Attending,
B1183050,24/05/2023,A1256500,Attending,Yes
B1183051,24/05/2023,A1256501,Attending,
B1183053,24/05/2023,A1256503,Attending,
B1183054,24/05/2023,A1256504,Attending,
