D9,,,,
BookingReference,Created Date,Reference,Attendee Status,Attended
B766054,03/10/2019,A829659,Booker not attending,
B766054,07/11/2019,A846905,Attending,No
B766176,03/10/2019,A829783,Attending,No
B766184,03/10/2019,A829791,Attending,No
B766188,03/10/2019,A829795,Attending,No
B766192,03/10/2019,A829800,Attending,No
B766195,03/10/2019,A829803,Attending,No
B766231,03/10/2019,A829843,Cancelled,
B766233,03/10/2019,A829845,Attending,Yes
B766550,04/10/2019,A830175,Attending,No
B766551,04/10/2019,A830176,Attending,No
B766606,04/10/2019,A830231,Attending,Yes
B766609,04/10/2019,A830234,Attending,Yes
B766611,04/10/2019,A830236,Attending,No
B766613,04/10/2019,A830238,Attending,Yes
B766615,04/10/2019,A830240,Attending,Yes
B766616,04/10/2019,A830241,Attending,Yes
B766618,04/10/2019,A830243,Attending,No
B766718,04/10/2019,A830344,Attending,Yes
B766722,04/10/2019,A830348,Attending,Yes
B766724,04/10/2019,A830350,Attending,Yes
B766741,04/10/2019,A830369,Attending,Yes
B767396,07/10/2019,A831026,Attending,Yes
B767400,07/10/2019,A831030,Attending,Yes
B767403,07/10/2019,A831033,Attending,No
B767406,07/10/2019,A831036,Attending,Yes
B767408,07/10/2019,A831038,Attending,Yes
B767414,07/10/2019,A831044,Cancelled,
B767416,07/10/2019,A831046,Attending,Yes
B767832,08/10/2019,A831481,Attending,Yes
B767849,08/10/2019,A831504,Attending,No
B767865,08/10/2019,A831523,Attending,Yes
B768296,09/10/2019,A831980,Attending,Yes
B768297,09/10/2019,A831981,Attending,Yes
B768300,09/10/2019,A831984,Attending,Yes
B768301,09/10/2019,A831985,Attending,Yes
B768303,09/10/2019,A831987,Cancelled,
B768305,09/10/2019,A831989,Attending,No
B768323,09/10/2019,A832007,Attending,No
B768324,09/10/2019,A832008,Attending,No
B768325,09/10/2019,A832009,Attending,No
B768327,09/10/2019,A832011,Cancelled,
B768328,09/10/2019,A832012,Attending,No
B768353,09/10/2019,A832037,Attending,No
B768356,09/10/2019,A832040,Attending,Yes
B768358,09/10/2019,A832042,Cancelled,
B768908,10/10/2019,A832614,Attending,Yes
B768914,10/10/2019,A832620,Attending,Yes
B768918,10/10/2019,A832624,Attending,Yes
B768921,10/10/2019,A832627,Attending,Yes
B768922,10/10/2019,A832628,Attending,No
B769502,11/10/2019,A833219,Attending,Yes
B769504,11/10/2019,A833221,Attending,No
B769506,11/10/2019,A833223,Attending,No
B769507,11/10/2019,A833224,Attending,No
B769541,11/10/2019,A833258,Attending,Yes
B769544,11/10/2019,A833261,Attending,Yes
B770436,14/10/2019,A834159,Cancelled,
B770437,14/10/2019,A834160,Attending,No
B770440,14/10/2019,A834163,Attending,No
B770441,14/10/2019,A834164,Attending,Yes
B770444,14/10/2019,A834167,Cancelled,
B770446,14/10/2019,A834169,Attending,Yes
B770451,14/10/2019,A834174,Attending,No
B770452,14/10/2019,A834175,Cancelled,
B770455,14/10/2019,A834178,Cancelled,
B770456,14/10/2019,A834179,Attending,Yes
B770459,14/10/2019,A834182,Attending,No
B770461,14/10/2019,A834184,Attending,No
B770606,14/10/2019,A834354,Attending,No
B770609,14/10/2019,A834360,Attending,No
