D21A,,,,
BookingReference,Created Date,Reference,Attendee Status,Attended
B1038411,03/12/2021,A1107168,Attending,
B1038437,03/12/2021,A1107194,Attending,
B1038439,03/12/2021,A1107196,Attending,
B1038441,04/12/2021,A1107198,Attending,
B1038442,06/12/2021,A1107199,Attending,
B1038444,06/12/2021,A1107201,Attending,
B1038445,06/12/2021,A1107202,Attending,
B1038446,06/12/2021,A1107203,Attending,
B1038447,06/12/2021,A1107204,Attending,
B1038449,06/12/2021,A1107206,Attending,
B1038450,06/12/2021,A1107207,Attending,
B1038452,06/12/2021,A1107209,Attending,
B1038453,06/12/2021,A1107210,Attending,
B1038454,06/12/2021,A1107211,Attending,
B1038455,06/12/2021,A1107212,Attending,
B1038458,06/12/2021,A1107215,Attending,
B1038459,06/12/2021,A1107216,Attending,
B1038461,06/12/2021,A1107218,Attending,
B1038462,06/12/2021,A1107219,Attending,
B1038463,06/12/2021,A1107220,Attending,
B1038464,06/12/2021,A1107221,Attending,
B1038465,06/12/2021,A1107222,Attending,
B1038466,06/12/2021,A1107223,Attending,
B1038467,06/12/2021,A1107224,Attending,
B1038468,06/12/2021,A1107225,Attending,
B1038469,06/12/2021,A1107226,Attending,
B1038470,06/12/2021,A1107227,Attending,
B1038472,06/12/2021,A1107229,Attending,
B1038474,06/12/2021,A1107231,Attending,
B1038476,06/12/2021,A1107233,Attending,
B1038477,06/12/2021,A1107234,Attending,
B1038478,06/12/2021,A1107235,Attending,
B1038480,06/12/2021,A1107237,Attending,
B1038482,06/12/2021,A1107239,Attending,
B1038483,06/12/2021,A1107240,Attending,
B1038484,06/12/2021,A1107241,Attending,
B1038486,06/12/2021,A1107243,Attending,
B1038498,06/12/2021,A1107255,Attending,
B1038508,06/12/2021,A1107265,Attending,
B1038516,06/12/2021,A1107273,Attending,
B1038555,06/12/2021,A1107312,Attending,
B1038725,06/12/2021,A1107485,Attending,
B1038732,06/12/2021,A1107492,Attending,
B1038733,06/12/2021,A1107493,Attending,
B1038776,06/12/2021,A1107536,Attending,
B1038779,06/12/2021,A1107539,Attending,
B1038780,06/12/2021,A1107540,Attending,
B1038782,06/12/2021,A1107542,Attending,
B1038783,06/12/2021,A1107543,Attending,
B1038811,06/12/2021,A1107571,Attending,
B1038813,06/12/2021,A1107573,Attending,
B1038818,06/12/2021,A1107578,Attending,
B1038853,06/12/2021,A1107613,Attending,
B1038854,06/12/2021,A1107614,Attending,
B1038868,06/12/2021,A1107628,Attending,
B1038922,06/12/2021,A1107682,Attending,
B1038923,06/12/2021,A1107683,Attending,
B1038926,06/12/2021,A1107686,Attending,
B1038959,06/12/2021,A1107719,Attending,
B1038965,06/12/2021,A1107725,Attending,
B1038965,06/12/2021,A1107726,Attending,
B1038966,06/12/2021,A1107727,Attending,
B1038977,06/12/2021,A1107738,Attending,
B1038982,06/12/2021,A1107743,Attending,
B1039128,06/12/2021,A1107890,Attending,
B1039130,06/12/2021,A1107892,Attending,
B1039165,06/12/2021,A1107927,Attending,
B1039167,06/12/2021,A1107929,Attending,
B1039175,06/12/2021,A1107937,Attending,
B1039181,06/12/2021,A1107943,Attending,
B1039193,06/12/2021,A1107955,Attending,
B1039197,06/12/2021,A1107959,Attending,
B1039210,07/12/2021,A1107972,Attending,
B1039229,07/12/2021,A1107991,Attending,
B1039230,07/12/2021,A1107992,Attending,
B1039234,07/12/2021,A1107996,Attending,
B1039242,07/12/2021,A1108004,Attending,
B1039242,07/12/2021,A1108005,Attending,
B1039256,07/12/2021,A1108019,Attending,
B1039257,07/12/2021,A1108020,Attending,
B1039275,07/12/2021,A1108038,Attending,
B1039288,07/12/2021,A1108051,Attending,
B1039294,07/12/2021,A1108057,Attending,
B1039299,07/12/2021,A1108062,Attending,
B1039316,07/12/2021,A1108079,Attending,
B1039316,07/12/2021,A1108080,Attending,
B1039321,07/12/2021,A1108085,Attending,
B1039323,07/12/2021,A1108087,Attending,
B1039328,07/12/2021,A1108092,Attending,
B1039436,07/12/2021,A1108201,Attending,
B1039439,07/12/2021,A1108204,Attending,
B1039441,07/12/2021,A1108206,Attending,
B1039443,07/12/2021,A1108208,Cancelled,
B1039447,07/12/2021,A1108212,Attending,
B1039448,07/12/2021,A1108213,Attending,
B1039467,08/12/2021,A1108232,Attending,
B1039476,08/12/2021,A1108241,Attending,
B1039477,08/12/2021,A1108242,Attending,
B1039483,08/12/2021,A1108248,Attending,
B1039491,08/12/2021,A1108256,Attending,
B1039491,08/12/2021,A1108257,Attending,
B1039491,08/12/2021,A1108258,Attending,
B1039491,08/12/2021,A1108259,Attending,
B1039500,08/12/2021,A1108268,Attending,
B1039700,08/12/2021,A1108468,Attending,
B1040356,08/12/2021,A1109124,Attending,
B898762,08/12/2021,A966607,Attending,
B898773,08/12/2021,A966618,Attending,
B917395,08/12/2021,A985258,Attending,
B933579,08/12/2021,A1001484,Attending,
B943256,08/12/2021,A1011194,Attending,
B960506,08/12/2021,A1028578,Attending,
B961231,08/12/2021,A1029314,Attending,
B967548,08/12/2021,A1035654,Attending,
B968144,08/12/2021,A1036253,Attending,
B972169,08/12/2021,A1040289,Attending,
B975239,08/12/2021,A1043372,Attending,
B975802,08/12/2021,A1043939,Attending,
B976838,08/12/2021,A1044979,Attending,
B978920,08/12/2021,A1047064,Attending,
B986930,09/12/2021,A1055120,Attending,
B986939,09/12/2021,A1055129,Attending,
B988340,09/12/2021,A1056533,Attending,
B988340,09/12/2021,A1056534,Attending,
B988340,09/12/2021,A1056535,Attending,
B988340,09/12/2021,A1056536,Attending,
B988340,09/12/2021,A1056537,Attending,
B988340,09/12/2021,A1056538,Attending,
B988340,09/12/2021,A1056539,Attending,
B988844,09/12/2021,A1057044,Attending,
B988844,09/12/2021,A1057045,Attending,
B988844,09/12/2021,A1102994,Attending,
B988924,09/12/2021,A1057125,Attending,
B994557,09/12/2021,A1062769,Attending,
B995812,09/12/2021,A1064027,Attending,
B998989,10/12/2021,A1067260,Attending,
B999583,14/12/2021,A1067862,Attending,
